,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Iterations,Runtime(seconds)
44,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(1.00)",35148,1.0,63299.0,9.0,0.0651
45,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(0.90)",31633,1.0,63299.0,9.0,0.0649
46,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(0.75)",26361,1.0,63299.0,9.0,0.0651
47,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(0.50)",17574,1.0,105147.0,10.0,0.1065
48,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(0.25)",8787,1.0,120352.0,12.0,0.1185
49,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=0)(0.10)",3514,1.0,542839.0,27.0,0.5321
50,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDMM,-,1.0,6976.0,0.0,0.0072
51,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-MM,-,1.0,5754.0,0.0,0.0072
52,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*,147810.0,1.0,11922.0,0.0,0.081
53,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-A*,-,1.0,25273.0,0.0,0.081
54,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,248331.0,1.0,19883.0,0.0,0.1092
55,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,56441.0,0.0,0.1092
56,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDA*,-,1.0,22060.0,0.0,0.0198
57,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-A*,-,1.0,20145.0,0.0,0.0198
58,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(1.00),147810,1.0,11922.0,0.0,0.0611
59,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.90),133029,1.0,12612.0,0.0,0.0699
60,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.75),110857,1.0,13439.0,0.0,0.0597
61,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.50),73905,1.0,14247.0,0.0,0.0437
62,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.25),36952,1.0,14891.0,0.0,0.0279
63,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.10),14781,1.0,16517.0,0.0,0.0215
64,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(1.00)",147810,1.0,225361.0,5.0,0.3048
65,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.90)",133029,1.0,224207.0,5.0,0.2974
66,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.75)",110857,1.0,222355.0,5.0,0.2874
67,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.50)",73905,1.0,349715.0,7.0,0.4025
68,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.25)",36952,1.0,415285.0,8.0,0.4627
69,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.10)",14781,1.0,1470340.0,21.0,1.5899
70,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(1.00)",147810,1.0,216436.0,11.0,0.2561
71,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.90)",133029,1.0,216436.0,11.0,0.2552
72,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.75)",110857,1.0,216436.0,11.0,0.2536
73,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.50)",73905,1.0,346839.0,13.0,0.3825
74,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.25)",36952,1.0,415292.0,14.0,0.4539
75,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.10)",14781,1.0,1469493.0,25.0,1.586
76,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDMM,-,1.0,22915.0,0.0,0.0226
77,16.0,0.0,3.0, 0 2 1 4 3 6 5 7 8 11 10 9 13 12 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-MM,-,1.0,19065.0,0.0,0.0226
78,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*,110803.0,1.0,8711.0,0.0,0.0393
79,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-A*,-,1.0,18135.0,0.0,0.0393
80,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,104606.0,1.0,14403.0,0.0,0.0496
81,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-MM,-,1.0,35387.0,0.0,0.0496
82,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDA*,-,1.0,17284.0,0.0,0.0175
83,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-A*,-,1.0,16263.0,0.0,0.0175
84,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(1.00),104606,1.0,9067.0,0.0,0.0545
85,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(0.90),94145,1.0,9541.0,0.0,0.0495
86,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(0.75),78454,1.0,10211.0,0.0,0.0436
87,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(0.50),52303,1.0,11125.0,0.0,0.032
88,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(0.25),26151,1.0,11898.0,0.0,0.0226
89,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,A*+IDA*(0.10),10460,1.0,12296.0,0.0,0.0169
90,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(1.00)",104606,1.0,14403.0,0.0,0.0497
91,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(0.90)",94145,1.0,190700.0,5.0,0.2606
92,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(0.75)",78454,1.0,189427.0,5.0,0.2541
93,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(0.50)",52303,1.0,270366.0,6.0,0.3391
94,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(0.25)",26151,1.0,361372.0,8.0,0.4378
95,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=1)(0.10)",10460,1.0,3189503.0,44.0,3.6925
96,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(1.00)",104606,1.0,184852.0,10.0,0.2317
97,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(0.90)",94145,1.0,184852.0,10.0,0.2308
98,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(0.75)",78454,1.0,184852.0,10.0,0.2314
99,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(0.50)",52303,1.0,267883.0,11.0,0.3262
100,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(0.25)",26151,1.0,360895.0,13.0,0.4312
101,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,"MBBDS(k=1,ThreePhase=0)(0.10)",10460,1.0,3188828.0,47.0,3.6881
102,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,IDMM,-,1.0,18276.0,0.0,0.0217
103,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,D-MM,-,1.0,16084.0,0.0,0.0217
